Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1961","49594.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1962","58827.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1963","57170.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1964","60596.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1965","59122.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1966","60325.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1967","64726.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1968","70568.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1969","63487.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1970","62231.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1971","79584.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1972","68717.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1973","78615.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1974","80888.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1975","72251.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1976","82243.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1977","92084.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1978","68843.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1979","79238.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1980","83833.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1981","86297.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1982","82830.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1983","77317.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1984","88279.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1985","79240.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1986","89797.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1987","77394.00","","Official data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","667","Tea","1988","90140.00","","Official data"
